排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
25,壹口食堂,日式,重庆大学城,30,未知,"鳗鱼饭套餐, 咖喱猪扒饭",2,好吃,有点咸
26,囍二妞串串,串串,重庆大学城,20,未知,未知,1,"平民价格, 菜品新鲜",暂无明显缺点
27,osolemio,意式,重庆大学城学堂府,50,未知,"黑松露披萨, 奶油意面",1,好吃,暂无明显缺点
28,湘厨,湖南菜,重庆大学城高新天街,40,未知,"小炒肉, 炒甜瓜, 小炒鸡",1,"无雷, 好吃",暂无明显缺点
29,啫啫煲,中餐,重庆大学城U城电影院隔壁,30,未知,"干蒸牛舌, 干蒸鸡",1,味道好,暂无明显缺点
30,有味涮羊肉,涮羊肉,重庆大学城,30,未知,牛肉蛋炒饭,1,香,暂无明显缺点
31,财虎渣渣牛肉,牛肉,重庆大学城,30,未知,渣渣牛肉,1,"肉品质好, 满足",暂无明显缺点
32,农家小院,家常菜,重庆大学城,30,未知,炒菜,2,好吃,暂无明显缺点
33,江哥,家常菜,重庆大学城9组团,20,未知,盐煎肉盖饭,1,"传统, 好吃",暂无明显缺点
34,酒久味,中餐,重庆大学城,30,未知,未知,1,好吃,暂无明显缺点
35,虎溪花园楼下炒菜店,家常菜,重庆大学城虎溪花园,30,未知,炒菜,1,不错,暂无明显缺点
36,李记豆花,家常菜/豆花,重庆大学城西二门,25,未知,"肉丝, 水煮肉片",5,"物美价廉, 好吃",豆花一般
37,冯四孃跷脚牛肉,跷脚牛肉,重庆大学城熙街,25,未知,毛血旺,4,"好吃, 下饭","粉重, 味道淡"
38,干沟湾公社食堂,中餐,重庆大学城U城天街,40,未知,"毛血旺, 小炒肉, 鱼香茄饼",4,"份量大, 环境好, 适合团建",味道中等
39,老地方饭店,家常菜,重庆大学城西二门,30,未知,未知,2,"好吃, 物美价廉",暂无明显缺点
40,掌上明珠酸汤鸭掌,鸭掌,重庆大学城陈家桥,30,未知,酸汤鸭掌,1,好吃,咸
41,口福缘,家常菜,重庆大学城陈家桥,30,未知,未知,3,"好吃, 特色",要早去
42,兴隆饭庄,家常菜,重庆大学城金凤镇/璧山,30,未知,未知,3,好吃,暂无明显缺点
43,有点儿名堂,中餐,重庆大学城仟佰汇,30,未知,未知,3,"好吃, 份量足",暂无明显缺点
44,绿满家,中餐,重庆大学城,30,未知,未知,2,好吃,暂无明显缺点
45,蜀道味源,中餐,重庆大学城,30,未知,未知,1,"好吃, 薅羊毛便宜",暂无明显缺点
46,熙街跷脚牛肉,跷脚牛肉,重庆大学城熙街,25,未知,未知,1,好吃,暂无明显缺点
47,璧山羊肉馆,羊肉,重庆大学城陈家桥,30,未知,未知,1,未知,暂无明显缺点
48,藏到吃鱼,鱼,重庆大学城陈家桥,30,未知,未知,3,好吃,暂无明显缺点
49,晓农民,家常菜,重庆大学城龙湖睿城/东门,30,未知,未知,3,好吃,暂无明显缺点
50,老八碗餐馆,中餐,重庆大学城,30,未知,未知,2,好吃,暂无明显缺点
51,雨峰饭店,中餐,重庆大学城西门,30,未知,未知,1,好吃,味道不稳
52,艾家鲜活烧烤大排档,烧烤,重庆大学城,30,未知,未知,1,味道好,老板声音大
53,克勤饭店,家常菜,重庆大学城曾家龙荫小区,30,未知,未知,1,宝藏,暂无明显缺点
54,何水豆花,家常菜/豆花,重庆大学城富力城时光里,25,未知,炒菜,1,"好吃, 排队",暂无明显缺点
55,唐姨妈牛肉火锅,火锅,重庆大学城,40,未知,未知,2,好吃,暂无明显缺点
56,蒋家大院,家常菜,重庆大学城重大东门,30,未知,未知,1,还可以,暂无明显缺点
57,乡村豆花,家常菜/豆花,重庆大学城,25,未知,未知,1,好吃,暂无明显缺点
58,尝回头,豆花饭,重庆大学城9组团,20,未知,豆花饭,1,绝,暂无明显缺点
59,年轻20年,中餐,重庆大学城,20,未知,未知,1,好吃,暂无明显缺点
60,缘知袁味耙牛肉,牛肉,重庆大学城,30,未知,未知,1,未知,暂无明显缺点
61,伽伽茹,印度菜,重庆大学城熙街,40,未知,未知,2,好吃,暂无明显缺点
62,火源部落铁板烧,铁板烧,重庆大学城,30,未知,未知,2,好吃,暂无明显缺点
63,金喜寿司,日式,重庆大学城,20,未知,未知,1,未知,暂无明显缺点
64,云阿蛮牛肉米线,米线,重庆大学城,20,未知,未知,1,香,有点油
65,咖咖茹,印度菜,重庆大学城,40,未知,未知,1,特别,暂无明显缺点
66,海皇姬,日式,重庆大学城微电园,50,未知,未知,1,好吃,暂无明显缺点
67,食其家,日式,重庆大学城,30,未知,鳗鱼饭,1,好吃,暂无明显缺点
68,千里香麻辣手撕鸡,手撕鸡,重庆大学城,20,未知,干拌牛肉酱拌手撕鸡,1,好吃,油不干净疑虑
69,钱塘特色砂锅粉,砂锅粉,重庆大学城,15,未知,砂锅粉,1,好吃,暂无明显缺点
70,dodooo酸奶碗,甜品,重庆大学城,20,未知,酸奶碗,1,香,有点贵
71,晨曦鲍鱼饭,鲍鱼饭,重庆大学城,30,未知,鲍鱼饭,1,满足,贵
72,池奈,日式,重庆大学城熙街,35,未知,猪排菌汤寿喜锅,1,好吃,人多
73,迷你椰,泰式,重庆大学城,25,未知,打抛饭+手撕鸡,1,不错,暂无明显缺点
74,木莲花开冒菜,冒菜,重庆大学城,20,未知,未知,1,白月光,暂无明显缺点
75,炭火匠人烧烤,烧烤,重庆大学城,15,未知,未知,1,便宜,暂无明显缺点
76,木子木水日式烫面包,甜品,重庆大学城,15,未知,未知,1,未知,暂无明显缺点
77,龚胖胖正宗猪脚饭,猪脚饭,重庆大学城,20,未知,猪脚饭,2,"好吃, 百吃不厌",暂无明显缺点
78,御柴源,烤鸭,重庆大学城龙湖时代天街,30,未知,片皮烤鸭,1,"份量多, 自助",暂无明显缺点
79,民心食府美蛙鱼头,美蛙鱼头,重庆大学城陈家桥,40,未知,未知,1,未知,暂无明显缺点
80,香苑烤鸭,烤鸭,重庆大学城,20,未知,未知,1,未知,"肉老, 腻"
81,不倒翁北京烤鸭,烤鸭,重庆大学城,30,未知,片皮烤鸭,2,"好吃, 份量多",暂无明显缺点
82,京香裕·北京烤鸭,烤鸭,重庆大学城富力城,30,未知,未知,1,未知,暂无明显缺点
